iter	Logloss
0	0.6159499783
1	0.5527210151
2	0.5011921183
3	0.4572077094
4	0.4203590902
5	0.3881896973
6	0.3606380887
7	0.3376461453
8	0.3177699449
9	0.3000107151
10	0.2848440213
11	0.2720179918
12	0.2609248183
13	0.251075609
14	0.2426648627
15	0.2350406562
16	0.2286003113
17	0.2230109151
18	0.2179504903
19	0.2135245429
20	0.2098873901
21	0.2068519084
22	0.2041363186
23	0.2017283291
24	0.1995759074
25	0.1977000088
26	0.1960982598
27	0.1946871779
28	0.1934619141
29	0.1925212606
30	0.191615092
31	0.1908215841
32	0.19029992
33	0.189726376
34	0.1890692817
35	0.188669298
36	0.1880697293
37	0.1876715088
38	0.1872802734
39	0.1869252014
40	0.1867386203
41	0.1863969591
42	0.1861330838
43	0.1858640544
44	0.185582784
45	0.1853800286
46	0.1851660665
47	0.1850443353
48	0.1847013346
49	0.1842783101
50	0.1840441725
51	0.1838186815
52	0.1836097039
53	0.1833158875
54	0.1830627441
55	0.1828556146
56	0.1825409614
57	0.1822744921
58	0.1819586351
59	0.1817974345
60	0.1815907118
61	0.181382565
62	0.181184845
63	0.1809952121
64	0.1807955594
65	0.1804290771
66	0.1802782525
67	0.1801487901
68	0.1800399102
69	0.1798035516
70	0.1795659722
71	0.1793524509
72	0.1791553921
73	0.1790196398
74	0.1789391751
75	0.1787529839
76	0.178453064
77	0.1782265557
78	0.1778631083
79	0.1777798462
80	0.1777071804
81	0.1775446065
82	0.177293396
83	0.1771498617
84	0.1768411764
85	0.1767026096
86	0.1764506361
87	0.1761324734
88	0.176021559
89	0.1757378303
90	0.1755531141
91	0.1753506639
92	0.1751698303
93	0.1750726657
94	0.1749830288
95	0.1747273085
96	0.1746403843
97	0.1744538032
98	0.1743829346
99	0.1741923862
