iter	Passed	Remaining
0	0	56
1	1	49
2	1	49
3	2	51
4	2	50
5	3	49
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	46
12	6	46
13	7	45
14	7	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	34
35	19	34
36	19	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	4
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
