product_id,title,brand,category,attributes,price,rating
92eb5ecc,TCL Refrigerator Art,TCL,Refrigerator,200L Energy Star,10176,2.8
461d7f22,Transsion Microwave Popular,Transsion,Microwave,Convection 700W,37161,3.2
3eccf28b,Transsion Smartphone Here,Transsion,Smartphone,Dual SIM 4G,63520,2.7
6ad77dec,Baltra Air Cooler Allow,Baltra,Air Cooler,35L Tank Remote,98208,3.8
4b07c653,Ultima Air Cooler Difference,Ultima,Air Cooler,35L Tank Ice Chamber,19128,3.8
5e2c00f9,Samsung Refrigerator To,Samsung,Refrigerator,Cooler Energy Star,39611,4.2
8532f40a,Lava Microwave Second,Lava,Microwave,Solo Grill,95323,4.4
6890a9cf,Samsung Smartphone Tax,Samsung,Smartphone,6GB RAM 6.5-inch,25928,4.5
2918b026,Baltra Smartphone Close,Baltra,Smartphone,6GB RAM Dual SIM,16639,4.3
94bbd3fb,Baltra TV Long,Baltra,TV,Smart TV HD,85425,4.5
27afcc4f,LG Refrigerator Push,LG,Refrigerator,Cooler Double Door,24564,4.9
55d6a98f,Samsung Refrigerator Need,Samsung,Refrigerator,200L Double Door,98212,4.1
c58778e9,Samsung Refrigerator Next,Samsung,Refrigerator,200L Cooler,15557,3.3
dba6c3f2,Transsion Refrigerator Former,Transsion,Refrigerator,Energy Star 200L,61861,3.2
30d701dc,TCL Air Cooler Member,TCL,Air Cooler,Ice Chamber 35L Tank,89784,4.9
a8a585b5,Transsion Refrigerator Would,Transsion,Refrigerator,200L Cooler,38417,4.3
5ecce40c,TCL Washing Machine History,TCL,Washing Machine,7kg Front Load,87275,4.4
563838ad,TCL Refrigerator Find,TCL,Refrigerator,Cooler Double Door,53254,4.5
a779229a,Baltra Air Cooler Time,Baltra,Air Cooler,Ice Chamber Remote,82883,4.7
e47f7079,Ultima Air Cooler Lot,Ultima,Air Cooler,35L Tank Remote,94108,4.5
282fc1bb,Baltra Microwave Her,Baltra,Microwave,Convection Grill,59265,4.8
0a096f70,LG Washing Machine Environmental,LG,Washing Machine,Front Load 7kg,14984,4.3
c994b863,Lava Washing Machine Law,Lava,Washing Machine,Inverter Front Load,77732,4.9
02476773,Samsung TV Itself,Samsung,TV,HD Smart TV,83228,4.7
a3ec87a5,Baltra TV Here,Baltra,TV,32 inch LED,89149,4.6
0c21a842,Baltra Washing Machine Professor,Baltra,Washing Machine,Front Load 7kg,61599,3.3
36a56d8b,Baltra Air Cooler Current,Baltra,Air Cooler,Remote 35L Tank,96469,4.5
729e358c,Lava Refrigerator Expert,Lava,Refrigerator,200L Double Door,61065,4.5
b5d91e4a,Samsung Microwave Smile,Samsung,Microwave,Convection 700W,17614,4.6
59a9a245,Samsung Air Cooler Range,Samsung,Air Cooler,Remote Ice Chamber,39729,3.1
a02464cd,Ultima Microwave Practice,Ultima,Microwave,Grill Convection,94349,3.4
390638d8,Lava Washing Machine Address,Lava,Washing Machine,7kg Inverter,11445,2.8
59ae24f7,Samsung Refrigerator Couple,Samsung,Refrigerator,200L Double Door,27976,3.1
4547d350,LG Microwave Animal,LG,Microwave,Solo 700W,65774,4.0
e77ed9b6,Ultima Smartphone Use,Ultima,Smartphone,Dual SIM 4G,42479,4.2
a132e2f9,TCL Refrigerator Before,TCL,Refrigerator,200L Double Door,99850,4.3
03b78034,Baltra Refrigerator Former,Baltra,Refrigerator,Energy Star 200L,52071,4.0
e5926bdb,Ultima Microwave Season,Ultima,Microwave,700W Grill,31008,2.7
3e7898de,Baltra Refrigerator Full,Baltra,Refrigerator,200L Double Door,83493,4.9
367d3c8a,Transsion Refrigerator Himself,Transsion,Refrigerator,Cooler Energy Star,36977,3.3
dddbc480,Baltra Smartphone Finally,Baltra,Smartphone,128GB 6.5-inch,30890,4.6
557ebbed,Samsung Air Cooler Hope,Samsung,Air Cooler,Remote Ice Chamber,94247,4.9
79b062f4,Baltra Air Cooler Agreement,Baltra,Air Cooler,Remote 35L Tank,10721,2.5
11c4559e,LG TV Crime,LG,TV,HD Smart TV,34818,3.1
b3f40c01,Lava Washing Machine Than,Lava,Washing Machine,Inverter Front Load,91598,4.9
9c7207e1,Baltra Air Cooler Beat,Baltra,Air Cooler,Remote Ice Chamber,84742,3.8
1b4b2314,Transsion Microwave Article,Transsion,Microwave,Grill Solo,26752,3.2
b34552ec,Lava TV Action,Lava,TV,32 inch LED,92539,3.8
dc303492,Ultima Refrigerator Local,Ultima,Refrigerator,Double Door 200L,31963,3.0
f3d439f3,Baltra TV By,Baltra,TV,HD 32 inch,32634,5.0
