product_id,title,brand,category,attributes,price,rating
cbec7ee1,Baltra TV Several,Baltra,TV,Smart TV 32 inch,91856,3.9
9977b253,LG Chimney Perhaps,LG,Chimney,Island Gesture-control,61958,5.0
7c0ec156,Lava Microwave Film,Lava,Microwave,Grill Convection,33783,4.5
7a56fc2c,Baltra Chimney Himself,Baltra,Chimney,Gesture-control Auto-CLean,30973,3.1
8c51e689,Midea Air Conditioner Painting,Midea,Air Conditioner,Non-Inverter 1-ton,42076,4.4
1c48b51c,LG TV Important,LG,TV,HD Smart TV,60301,4.9
bcb3d140,Midea Chimney Affect,Midea,Chimney,Auto-CLean Gesture-control,48678,3.5
9eb60fd3,Lava Air Cooler Pattern,Lava,Air Cooler,Ice Chamber Remote,81795,4.9
d9d7260f,Faber Refrigerator Step,Faber,Refrigerator,Cooler 200L,21126,4.8
f57a2ec0,Ultima Chimney Especially,Ultima,Chimney,Island Auto-CLean,40751,4.3
708df4d4,Ultima Chimney Establish,Ultima,Chimney,Gesture-control Auto-CLean,46138,4.3
213eb44d,Faber Microwave Give,Faber,Microwave,Convection Solo,13217,4.9
a1be68d2,Lava Air Conditioner Meet,Lava,Air Conditioner,1-ton 2-ton,53690,3.6
30bfc186,Lava TV Then,Lava,TV,Smart TV HD,83095,2.9
f9eeae8c,LG Washing Machine Ask,LG,Washing Machine,Front Load 7kg,27876,2.7
3c50338b,TCL Chimney Now,TCL,Chimney,Island Auto-CLean,15800,3.4
a5e9d090,Faber Chimney Thought,Faber,Chimney,Gesture-control Auto-CLean,40990,3.7
c2f45c82,Baltra Air Cooler Relate,Baltra,Air Cooler,35L Tank Ice Chamber,21925,3.2
98667158,TCL TV Clear,TCL,TV,HD LED,27424,3.0
0584cb41,Ultima Cooktop Instead,Ultima,Cooktop,CopperBurner floating,91758,3.8
0647d20e,Transsion Chimney Car,Transsion,Chimney,Auto-CLean Gesture-control,31052,3.8
530cbd9c,Faber Microwave Plan,Faber,Microwave,Grill 700W,76560,3.7
1ecd183f,Baltra Air Conditioner Town,Baltra,Air Conditioner,2-ton Non-Inverter,47038,3.7
3ccda57b,Transsion Refrigerator Its,Transsion,Refrigerator,Cooler 200L,32164,4.9
7f393c30,Faber Cooktop Certainly,Faber,Cooktop,Matte floating,33819,3.5
b38f357a,Samsung Chimney Fine,Samsung,Chimney,Island Gesture-control,90643,3.5
36d91e0a,Transsion Air Cooler Feeling,Transsion,Air Cooler,35L Tank Ice Chamber,15816,4.3
3ce53812,Pigeon Washing Machine By,Pigeon,Washing Machine,7kg Inverter,27035,4.8
dfdc849d,LG TV Education,LG,TV,LED 32 inch,83452,4.0
fdc7379d,Samsung Air Conditioner Trip,Samsung,Air Conditioner,2-ton 1-ton,54760,4.2
d750e115,Transsion Air Conditioner Between,Transsion,Air Conditioner,1-ton Non-Inverter,77762,4.0
5ca88dd3,Baltra Washing Machine Want,Baltra,Washing Machine,Front Load Inverter,68125,4.8
57e56794,Transsion Smartphone Us,Transsion,Smartphone,4G 6.5-inch,77316,4.0
e3b2ee45,TCL Refrigerator Term,TCL,Refrigerator,Cooler 200L,96828,3.5
bc0c3c51,Pigeon Cooktop Career,Pigeon,Cooktop,floating Matte,26256,3.8
8e6bc9df,LG Chimney Note,LG,Chimney,Auto-CLean Island,87830,3.2
23e0e85c,Lava Washing Machine Man,Lava,Washing Machine,Inverter Front Load,17144,3.2
72269b78,Transsion Washing Machine Indicate,Transsion,Washing Machine,Front Load 7kg,24733,2.9
085b8d9b,Ultima Cooktop Four,Ultima,Cooktop,Matte CopperBurner,74779,3.1
b3ddac77,TCL Air Cooler Artist,TCL,Air Cooler,35L Tank Remote,27390,3.0
2f4f7819,LG Smartphone Than,LG,Smartphone,6GB RAM 128GB,79313,4.5
96e255ed,Samsung Smartphone Avoid,Samsung,Smartphone,4G Dual SIM,61041,4.9
6a1658a1,Midea Smartphone Guy,Midea,Smartphone,128GB 6GB RAM,64048,3.7
48a586ef,Midea Washing Machine Organization,Midea,Washing Machine,Front Load 7kg,81624,3.1
52c80218,TCL Refrigerator Television,TCL,Refrigerator,Cooler Energy Star,29511,3.0
0dbb70eb,Transsion Chimney Situation,Transsion,Chimney,Island Gesture-control,69490,4.6
3f91d5ed,LG Smartphone Reflect,LG,Smartphone,Dual SIM 6GB RAM,69797,4.2
9b87df9a,Ultima Refrigerator Trip,Ultima,Refrigerator,200L Double Door,41172,4.3
6537dc3c,Lava Air Conditioner Task,Lava,Air Conditioner,1-ton 2-ton,52630,4.6
fb3f3206,Samsung Cooktop Interest,Samsung,Cooktop,CopperBurner floating,70872,4.4
11ee237a,Baltra Smartphone Crime,Baltra,Smartphone,4G Dual SIM,73146,4.8
9ab05fe1,Pigeon Air Conditioner Rest,Pigeon,Air Conditioner,1-ton 2-ton,26022,3.4
7c68c5db,Baltra Cooktop Yes,Baltra,Cooktop,Matte CopperBurner,47942,3.3
ba00f0ba,Ultima Smartphone General,Ultima,Smartphone,Dual SIM 4G,55890,4.0
0fb4ac55,Faber Chimney Good,Faber,Chimney,Gesture-control Island,50687,4.8
7ed6c088,Midea Microwave Chair,Midea,Microwave,Solo Grill,42973,2.6
252d42f3,Samsung Refrigerator Interest,Samsung,Refrigerator,Double Door 200L,70690,3.7
52f2dbd9,Samsung Air Cooler End,Samsung,Air Cooler,Remote Ice Chamber,32230,5.0
90a09c29,Midea Cooktop Official,Midea,Cooktop,CopperBurner floating,21091,4.7
19c75cf4,Samsung Chimney Way,Samsung,Chimney,Auto-CLean Gesture-control,98049,4.1
9597c55d,Faber Microwave Tax,Faber,Microwave,Solo Convection,88460,3.6
249489bb,Lava Cooktop Mother,Lava,Cooktop,Matte CopperBurner,47812,3.5
dafe9152,Transsion Chimney Magazine,Transsion,Chimney,Gesture-control Island,84719,4.5
b0a09f68,Lava Smartphone Including,Lava,Smartphone,6GB RAM 128GB,26096,3.5
7fde8af3,Baltra Microwave Painting,Baltra,Microwave,Convection 700W,85412,2.6
b117ff47,Midea Microwave Camera,Midea,Microwave,Grill 700W,20397,3.7
6802ebba,Lava Refrigerator Couple,Lava,Refrigerator,200L Cooler,80214,4.4
a474b957,Faber Microwave Benefit,Faber,Microwave,700W Solo,90232,3.2
5629145c,Lava Refrigerator These,Lava,Refrigerator,Energy Star 200L,91792,3.7
b83af3f6,Samsung Air Cooler Various,Samsung,Air Cooler,Remote 35L Tank,12072,3.9
73b3ba45,LG Smartphone Cold,LG,Smartphone,6GB RAM 4G,74271,3.8
122d08d2,TCL Cooktop Huge,TCL,Cooktop,Matte CopperBurner,44791,2.9
520c08e5,TCL Washing Machine Town,TCL,Washing Machine,Inverter 7kg,84587,4.1
2e5e557d,Samsung Smartphone Few,Samsung,Smartphone,6.5-inch 128GB,70166,3.8
6ec7d345,TCL Microwave Notice,TCL,Microwave,Grill 700W,24940,3.5
33208755,Midea Air Conditioner Our,Midea,Air Conditioner,1-ton Non-Inverter,68258,3.5
b72ca32a,TCL Smartphone Five,TCL,Smartphone,6.5-inch Dual SIM,80989,4.2
1e3fd857,LG Cooktop Purpose,LG,Cooktop,CopperBurner floating,96033,3.5
1b6bb38b,Baltra Air Conditioner And,Baltra,Air Conditioner,Inverter 2-ton,77148,4.4
85ebfef1,TCL Air Conditioner Yard,TCL,Air Conditioner,Non-Inverter 2-ton,21872,3.9
6dd7b424,Baltra Microwave Through,Baltra,Microwave,Convection 700W,64972,4.3
eeedc572,LG TV Best,LG,TV,32 inch Smart TV,30963,3.0
f9272d67,Ultima Cooktop Floor,Ultima,Cooktop,CopperBurner Matte,38057,3.4
ab3fdcdb,Faber Air Cooler Two,Faber,Air Cooler,35L Tank Remote,68877,2.9
d93953e9,Samsung Microwave News,Samsung,Microwave,Solo Grill,68653,4.0
dcfdf0e8,Lava Microwave Police,Lava,Microwave,Solo Grill,61996,2.9
0d9b0003,Midea Cooktop Enjoy,Midea,Cooktop,floating Matte,39392,4.5
32e2e2ff,Lava Air Cooler Again,Lava,Air Cooler,Remote 35L Tank,72628,2.7
16c0c195,Baltra Washing Machine School,Baltra,Washing Machine,Front Load 7kg,33485,4.9
0f34cdc1,Pigeon Air Conditioner Appear,Pigeon,Air Conditioner,1-ton Non-Inverter,61960,4.7
e3bf4dcd,Lava Microwave These,Lava,Microwave,Solo Convection,32212,4.1
0a3b92c2,LG Cooktop Thus,LG,Cooktop,Matte floating,77766,3.8
f869c0e6,TCL Washing Machine Direction,TCL,Washing Machine,Front Load 7kg,59557,4.9
12ad87e3,Ultima Cooktop War,Ultima,Cooktop,Matte CopperBurner,70700,3.3
515057e9,Faber Washing Machine Check,Faber,Washing Machine,Front Load Inverter,81984,3.5
cc1d2045,Ultima Washing Machine Suffer,Ultima,Washing Machine,Front Load Inverter,80434,2.5
24107b4c,Pigeon Air Cooler Station,Pigeon,Air Cooler,35L Tank Remote,32922,3.4
a5c88990,Faber Refrigerator Article,Faber,Refrigerator,Energy Star Double Door,17593,4.5
2570b385,Transsion Microwave Stage,Transsion,Microwave,700W Solo,94175,4.1
